id,track_name,track_number,album,album_label,release_year,release_month,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,popularity
427,Shake It Off,6,1989,Big Machine,2014,January,0.056,0.648,0.785,0.148,-5.414,0.165,160.02,0.943,53
428,I Wish You Would,7,1989,Big Machine,2014,January,0.016,0.649,0.898,0.109,-5.963,0.051,118.027,0.503,42
429,Bad Blood,8,1989,Big Machine,2014,January,0.087,0.652,0.802,0.148,-6.114,0.181,170.157,0.295,71
430,Wildest Dreams,9,1989,Big Machine,2014,January,0.071,0.553,0.664,0.106,-7.417,0.074,140.06,0.467,75
431,How You Get The Girl,10,1989,Big Machine,2014,January,0.005,0.764,0.659,0.092,-6.136,0.049,119.982,0.525,43
432,This Love,11,1989,Big Machine,2014,January,0.635,0.485,0.459,0.101,-8.768,0.034,71.981,0.086,42
433,I Know Places,12,1989,Big Machine,2014,January,0.231,0.595,0.763,0.2,-4.991,0.066,159.959,0.507,43
434,Clean,13,1989,Big Machine,2014,January,0.242,0.81,0.38,0.113,-7.755,0.035,103.981,0.211,42
435,State Of Grace,1,Red (Deluxe Edition),Big Machine,2012,October,0,0.588,0.825,0.088,-5.882,0.033,129.968,0.397,43
436,Red,2,Red (Deluxe Edition),Big Machine,2012,October,0.077,0.602,0.896,0.091,-4.267,0.044,124.978,0.641,54
437,Treacherous,3,Red (Deluxe Edition),Big Machine,2012,October,0.101,0.704,0.621,0.14,-8.086,0.033,109.995,0.395,41
438,I Knew You Were Trouble.,4,Red (Deluxe Edition),Big Machine,2012,October,0.005,0.622,0.469,0.034,-6.798,0.036,77.019,0.679,59
439,All Too Well,5,Red (Deluxe Edition),Big Machine,2012,October,0.038,0.602,0.609,0.128,-7.803,0.024,93.06,0.337,59
440,22,6,Red (Deluxe Edition),Big Machine,2012,October,0.002,0.661,0.729,0.048,-6.561,0.038,103.987,0.668,59
441,I Almost Do,7,Red (Deluxe Edition),Big Machine,2012,October,0.017,0.567,0.481,0.182,-7.357,0.027,145.865,0.233,43
442,We Are Never Ever Getting Back Together,8,Red (Deluxe Edition),Big Machine,2012,October,0.01,0.628,0.676,0.121,-5.911,0.092,85.984,0.75,59
443,Stay Stay Stay,9,Red (Deluxe Edition),Big Machine,2012,October,0.307,0.729,0.748,0.096,-6.67,0.024,99.981,0.928,43
444,The Last Time,10,Red (Deluxe Edition),Big Machine,2012,October,0.035,0.505,0.443,0.091,-7.039,0.028,94.069,0.123,45
445,Holy Ground,11,Red (Deluxe Edition),Big Machine,2012,October,0.016,0.627,0.816,0.096,-6.698,0.077,157.043,0.648,41
446,Sad Beautiful Tragic,12,Red (Deluxe Edition),Big Machine,2012,October,0.632,0.624,0.34,0.08,-12.411,0.029,129.987,0.261,40
447,The Lucky One,13,Red (Deluxe Edition),Big Machine,2012,October,0.037,0.706,0.499,0.132,-7.675,0.037,117.937,0.545,40
448,Everything Has Changed,14,Red (Deluxe Edition),Big Machine,2012,October,0.36,0.624,0.458,0.311,-6.755,0.029,80.016,0.436,52
449,Starlight,15,Red (Deluxe Edition),Big Machine,2012,October,0.021,0.649,0.777,0.21,-5.804,0.041,126.018,0.587,41
450,Begin Again,16,Red (Deluxe Edition),Big Machine,2012,October,0.199,0.53,0.526,0.14,-8.349,0.026,79.025,0.323,45
451,The Moment I Knew,17,Red (Deluxe Edition),Big Machine,2012,October,0.187,0.619,0.506,0.101,-7.327,0.032,126.03,0.274,38
452,Come Back...Be Here,18,Red (Deluxe Edition),Big Machine,2012,October,0.005,0.483,0.548,0.1,-6.291,0.025,79.926,0.217,43
453,Girl At Home,19,Red (Deluxe Edition),Big Machine,2012,October,0.272,0.733,0.59,0.134,-5.86,0.028,125.048,0.633,37
454,Treacherous - Original Demo Recording,20,Red (Deluxe Edition),Big Machine,2012,October,0.175,0.828,0.64,0.099,-8.248,0.035,109.993,0.519,34
455,Red - Original Demo Recording,21,Red (Deluxe Edition),Big Machine,2012,October,0.113,0.678,0.902,0.07,-4.659,0.036,124.998,0.637,36
456,State Of Grace - Acoustic,22,Red (Deluxe Edition),Big Machine,2012,October,0.664,0.626,0.118,0.127,-15.91,0.03,105.597,0.068,37
457,State Of Grace,1,Red,Big Machine,2012,October,0,0.588,0.825,0.088,-5.882,0.033,129.968,0.397,40
458,Red,2,Red,Big Machine,2012,October,0.077,0.602,0.896,0.091,-4.267,0.044,124.978,0.641,58
459,Treacherous,3,Red,Big Machine,2012,October,0.101,0.705,0.621,0.147,-8.086,0.033,109.993,0.395,38
460,I Knew You Were Trouble.,4,Red,Big Machine,2012,October,0.005,0.622,0.469,0.04,-6.798,0.036,77.019,0.679,61
461,All Too Well,5,Red,Big Machine,2012,October,0.038,0.602,0.609,0.127,-7.803,0.024,93.06,0.337,44
462,22,6,Red,Big Machine,2012,October,0.002,0.658,0.729,0.075,-6.561,0.038,104.007,0.668,53
463,I Almost Do,7,Red,Big Machine,2012,October,0.017,0.567,0.481,0.182,-7.357,0.027,145.865,0.233,39
464,We Are Never Ever Getting Back Together,8,Red,Big Machine,2012,October,0.01,0.628,0.676,0.102,-5.911,0.092,85.984,0.75,59
465,Stay Stay Stay,9,Red,Big Machine,2012,October,0.307,0.729,0.748,0.09,-6.67,0.024,99.981,0.928,39
466,The Last Time,10,Red,Big Machine,2012,October,0.035,0.505,0.443,0.092,-7.039,0.028,94.069,0.123,38
467,Holy Ground,11,Red,Big Machine,2012,October,0.016,0.627,0.816,0.097,-6.698,0.077,157.043,0.648,37
468,Sad Beautiful Tragic,12,Red,Big Machine,2012,October,0.632,0.624,0.34,0.121,-12.411,0.029,129.987,0.261,35
469,The Lucky One,13,Red,Big Machine,2012,October,0.037,0.706,0.499,0.132,-7.675,0.037,117.937,0.545,36
470,Everything Has Changed,14,Red,Big Machine,2012,October,0.36,0.624,0.458,0.303,-6.755,0.029,80.017,0.436,50
471,Starlight,15,Red,Big Machine,2012,October,0.021,0.649,0.777,0.221,-5.804,0.041,126.018,0.587,37
472,Begin Again,16,Red,Big Machine,2012,October,0.199,0.53,0.526,0.232,-8.349,0.026,79.025,0.323,56
473,Sparks Fly - Live/2011,1,Speak Now World Tour Live,Big Machine,2010,October,0.009,0.455,0.783,0.918,-5.184,0.039,114.981,0.298,42
474,Mine - Live/2011,2,Speak Now World Tour Live,Big Machine,2010,October,0.002,0.496,0.852,0.554,-4.775,0.037,120.969,0.442,40
475,The Story Of Us - Live,3,Speak Now World Tour Live,Big Machine,2010,October,0,0.419,0.908,0.815,-5.156,0.065,139.813,0.472,40
476,Mean - Live/2011,4,Speak Now World Tour Live,Big Machine,2010,October,0.154,0.429,0.915,0.693,-4.373,0.069,163.752,0.432,40
477,Ours - Live/2011,5,Speak Now World Tour Live,Big Machine,2010,October,0.715,0.421,0.355,0.867,-10.21,0.03,77.769,0.267,39
478,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,6,Speak Now World Tour Live,Big Machine,2010,October,0.155,0.374,0.516,0.795,-8.745,0.029,142.057,0.171,47
479,Better Than Revenge - Live/2011,7,Speak Now World Tour Live,Big Machine,2010,October,0.003,0.445,0.887,0.931,-5.629,0.077,145.954,0.386,41
480,Speak Now - Live/2011,8,Speak Now World Tour Live,Big Machine,2010,October,0.064,0.615,0.694,0.83,-5.251,0.032,118.876,0.373,40
481,Last Kiss - Live/2011,9,Speak Now World Tour Live,Big Machine,2010,October,0.205,0.427,0.395,0.701,-12.551,0.029,79.517,0.188,40
482,Drops Of Jupiter - Live/2011,10,Speak Now World Tour Live,Big Machine,2010,October,0.806,0.374,0.504,0.76,-8.407,0.039,109.025,0.27,46
483,Bette Davis Eyes - Live/2011,11,Speak Now World Tour Live,Big Machine,2010,October,0.713,0.327,0.488,0.837,-9.287,0.032,104.46,0.363,42
484,I Want You Back - Live/2011,12,Speak Now World Tour Live,Big Machine,2010,October,0.794,0.536,0.512,0.497,-6.794,0.034,97.397,0.249,40
485,Dear John - Live/2011,13,Speak Now World Tour Live,Big Machine,2010,October,0.016,0.521,0.386,0.884,-8.784,0.03,119.518,0.138,40
486,Enchanted - Live/2011,14,Speak Now World Tour Live,Big Machine,2010,October,0.075,0.34,0.663,0.563,-5.597,0.033,163.678,0.214,42
487,Haunted - Live/2011,15,Speak Now World Tour Live,Big Machine,2010,October,0.024,0.338,0.818,0.889,-7.495,0.05,162.157,0.177,41
488,Long Live - Live/2011,16,Speak Now World Tour Live,Big Machine,2010,October,0.005,0.544,0.728,0.865,-5.838,0.028,101.939,0.204,41
489,Mine - POP Mix,1,Speak Now,Big Machine,2010,October,0.005,0.696,0.768,0.101,-3.863,0.031,121.05,0.692,42
490,Sparks Fly,2,Speak Now,Big Machine,2010,October,0.039,0.608,0.785,0.158,-2.976,0.031,114.985,0.376,53
491,Back To December,3,Speak Now,Big Machine,2010,October,0.02,0.517,0.606,0.324,-5.797,0.029,141.929,0.296,62
492,Speak Now,4,Speak Now,Big Machine,2010,October,0.101,0.708,0.601,0.098,-3.75,0.031,118.962,0.742,50
493,Dear John,5,Speak Now,Big Machine,2010,October,0.183,0.583,0.468,0.111,-5.378,0.028,119.375,0.126,46
494,Mean,6,Speak Now,Big Machine,2010,October,0.445,0.57,0.747,0.219,-3.978,0.043,164.004,0.808,51
495,The Story Of Us,7,Speak Now,Big Machine,2010,October,0,0.575,0.855,0.042,-4.827,0.047,139.92,0.84,48
496,Never Grow Up,8,Speak Now,Big Machine,2010,October,0.829,0.715,0.308,0.16,-8.829,0.03,124.899,0.547,48
497,Enchanted,9,Speak Now,Big Machine,2010,October,0.072,0.535,0.618,0.169,-3.913,0.027,81.975,0.228,71
498,Better Than Revenge,10,Speak Now,Big Machine,2010,October,0.017,0.519,0.917,0.359,-3.185,0.089,145.882,0.652,54
499,Innocent,11,Speak Now,Big Machine,2010,October,0.202,0.553,0.604,0.125,-5.295,0.026,133.989,0.186,38
500,Haunted,12,Speak Now,Big Machine,2010,October,0.077,0.434,0.944,0.151,-2.641,0.058,162.02,0.361,47
501,Last Kiss,13,Speak Now,Big Machine,2010,October,0.581,0.359,0.329,0.098,-9.531,0.029,84.358,0.208,49
502,Long Live,14,Speak Now,Big Machine,2010,October,0.043,0.412,0.682,0.106,-4.319,0.034,203.959,0.146,51
503,Mine - POP Mix,1,Speak Now (Deluxe Package),Big Machine,2010,January,0.005,0.696,0.768,0.101,-3.863,0.031,121.05,0.692,42
504,Sparks Fly,2,Speak Now (Deluxe Package),Big Machine,2010,January,0.039,0.608,0.785,0.158,-2.976,0.031,114.985,0.376,52
505,Back To December,3,Speak Now (Deluxe Package),Big Machine,2010,January,0.02,0.517,0.606,0.324,-5.797,0.029,141.929,0.296,63
506,Speak Now,4,Speak Now (Deluxe Package),Big Machine,2010,January,0.101,0.708,0.601,0.098,-3.75,0.031,118.962,0.742,51
507,Dear John,5,Speak Now (Deluxe Package),Big Machine,2010,January,0.183,0.583,0.468,0.111,-5.378,0.028,119.375,0.126,46
508,Mean,6,Speak Now (Deluxe Package),Big Machine,2010,January,0.445,0.57,0.747,0.219,-3.978,0.043,164.004,0.808,55
509,The Story Of Us,7,Speak Now (Deluxe Package),Big Machine,2010,January,0,0.575,0.855,0.042,-4.827,0.047,139.92,0.84,40
510,Never Grow Up,8,Speak Now (Deluxe Package),Big Machine,2010,January,0.829,0.715,0.308,0.16,-8.829,0.03,124.899,0.547,44
511,Enchanted,9,Speak Now (Deluxe Package),Big Machine,2010,January,0.072,0.535,0.618,0.169,-3.913,0.027,81.975,0.228,71
512,Better Than Revenge,10,Speak Now (Deluxe Package),Big Machine,2010,January,0.017,0.519,0.917,0.359,-3.185,0.089,145.882,0.652,54
513,Innocent,11,Speak Now (Deluxe Package),Big Machine,2010,January,0.202,0.553,0.604,0.125,-5.295,0.026,133.989,0.186,40
514,Haunted,12,Speak Now (Deluxe Package),Big Machine,2010,January,0.077,0.434,0.944,0.151,-2.641,0.058,162.02,0.361,48
515,Last Kiss,13,Speak Now (Deluxe Package),Big Machine,2010,January,0.581,0.359,0.329,0.098,-9.531,0.029,84.358,0.208,46
516,Long Live,14,Speak Now (Deluxe Package),Big Machine,2010,January,0.043,0.412,0.682,0.106,-4.319,0.034,203.959,0.146,46
517,Ours,15,Speak Now (Deluxe Package),Big Machine,2010,January,0.505,0.61,0.556,0.085,-7.369,0.028,159.838,0.192,46
518,If This Was A Movie,16,Speak Now (Deluxe Package),Big Machine,2010,January,0.154,0.515,0.724,0.269,-3.498,0.027,147.788,0.257,45
519,Superman,17,Speak Now (Deluxe Package),Big Machine,2010,January,0.019,0.582,0.817,0.101,-3.718,0.034,131.983,0.547,39
520,Back To December - Acoustic,18,Speak Now (Deluxe Package),Big Machine,2010,January,0.731,0.541,0.451,0.197,-6.522,0.027,141.713,0.333,49
521,Haunted - Acoustic Version,19,Speak Now (Deluxe Package),Big Machine,2010,January,0.841,0.574,0.462,0.28,-5.124,0.025,80.858,0.314,44
522,Mine,20,Speak Now (Deluxe Package),Big Machine,2010,January,0.003,0.621,0.78,0.184,-2.934,0.03,121.038,0.672,57
523,Back To December,21,Speak Now (Deluxe Package),Big Machine,2010,January,0.113,0.525,0.676,0.294,-4.684,0.029,141.95,0.281,34
524,The Story Of Us,22,Speak Now (Deluxe Package),Big Machine,2010,January,0.005,0.546,0.809,0.044,-3.621,0.041,139.91,0.649,52
525,Jump Then Fall,1,Fearless (Platinum Edition),Big Machine,2008,November,0.111,0.618,0.687,0.069,-5.737,0.027,79.991,0.82,41
526,Untouchable,2,Fearless (Platinum Edition),Big Machine,2008,November,0.058,0.419,0.454,0.097,-6.809,0.034,200.017,0.288,43
527,Forever & Always - Piano Version,3,Fearless (Platinum Edition),Big Machine,2008,November,0.852,0.592,0.16,0.116,-10.785,0.035,118.929,0.294,41
528,Come In With The Rain,4,Fearless (Platinum Edition),Big Machine,2008,November,0.096,0.527,0.461,0.24,-6.172,0.026,143.94,0.23,39
529,SuperStar,5,Fearless (Platinum Edition),Big Machine,2008,November,0.367,0.61,0.531,0.351,-6.123,0.024,85.979,0.228,38
530,The Other Side Of The Door,6,Fearless (Platinum Edition),Big Machine,2008,November,0.169,0.476,0.816,0.238,-4.279,0.035,163.847,0.469,39
531,Fearless,7,Fearless (Platinum Edition),Big Machine,2008,November,0.036,0.598,0.714,0.31,-4.397,0.027,99.979,0.467,50
532,Fifteen,8,Fearless (Platinum Edition),Big Machine,2008,November,0.073,0.559,0.636,0.144,-4.4,0.026,95.485,0.214,40
533,Love Story,9,Fearless (Platinum Edition),Big Machine,2008,November,0.157,0.618,0.736,0.073,-3.937,0.031,118.982,0.307,56
534,Hey Stephen,10,Fearless (Platinum Edition),Big Machine,2008,November,0.168,0.843,0.553,0.107,-7.348,0.032,115.997,0.825,43
535,White Horse,11,Fearless (Platinum Edition),Big Machine,2008,November,0.302,0.585,0.346,0.102,-8.014,0.026,92.564,0.195,42
536,You Belong With Me,12,Fearless (Platinum Edition),Big Machine,2008,November,0.164,0.687,0.771,0.112,-4.424,0.038,129.964,0.445,57
537,Breathe,13,Fearless (Platinum Edition),Big Machine,2008,November,0.373,0.498,0.486,0.113,-7.384,0.027,147.952,0.17,38
538,Tell Me Why,14,Fearless (Platinum Edition),Big Machine,2008,November,0.061,0.601,0.852,0.37,-3.096,0.039,100.015,0.513,40
539,You're Not Sorry,15,Fearless (Platinum Edition),Big Machine,2008,November,0.13,0.459,0.459,0.113,-4.126,0.028,134.018,0.281,42
540,The Way I Loved You,16,Fearless (Platinum Edition),Big Machine,2008,November,0.032,0.436,0.712,0.111,-3.689,0.033,160.886,0.379,48
541,Forever & Always,17,Fearless (Platinum Edition),Big Machine,2008,November,0.091,0.605,0.829,0.106,-4.993,0.055,128.012,0.514,43
542,The Best Day,18,Fearless (Platinum Edition),Big Machine,2008,November,0.611,0.664,0.447,0.139,-8.535,0.029,126.079,0.364,40
543,Change,19,Fearless (Platinum Edition),Big Machine,2008,November,0.005,0.548,0.756,0.117,-4.175,0.036,96.038,0.224,40
544,Fearless,1,Fearless (International Version),Big Machine,2008,November,0.045,0.593,0.705,0.309,-4.43,0.027,100.11,0.472,36
545,Fifteen,2,Fearless (International Version),Big Machine,2008,November,0.072,0.555,0.648,0.143,-4.419,0.027,95.431,0.207,32
546,Love Story,3,Fearless (International Version),Big Machine,2008,November,0.019,0.62,0.639,0.206,-5.398,0.028,119.055,0.34,46
547,Hey Stephen,4,Fearless (International Version),Big Machine,2008,November,0.174,0.843,0.543,0.097,-7.364,0.032,116,0.826,30
548,White Horse,5,Fearless (International Version),Big Machine,2008,November,0.298,0.587,0.342,0.106,-8.034,0.026,92.71,0.212,33
549,You Belong With Me,6,Fearless (International Version),Big Machine,2008,November,0.151,0.688,0.775,0.104,-4.436,0.038,129.969,0.469,45
550,Breathe,7,Fearless (International Version),Big Machine,2008,November,0.389,0.488,0.472,0.125,-7.39,0.028,147.926,0.163,31
551,Tell Me Why,8,Fearless (International Version),Big Machine,2008,November,0.061,0.606,0.848,0.374,-3.058,0.037,99.999,0.476,27
552,You're Not Sorry,9,Fearless (International Version),Big Machine,2008,November,0.145,0.471,0.458,0.108,-4.137,0.027,133.96,0.309,28
553,The Way I Loved You,10,Fearless (International Version),Big Machine,2008,November,0.032,0.434,0.723,0.125,-3.748,0.034,160.872,0.412,31
554,Forever & Always,11,Fearless (International Version),Big Machine,2008,November,0.079,0.604,0.816,0.164,-5.002,0.054,128,0.55,28
555,The Best Day,12,Fearless (International Version),Big Machine,2008,November,0.648,0.671,0.44,0.141,-8.561,0.029,126.059,0.368,26
556,Change,13,Fearless (International Version),Big Machine,2008,November,0.005,0.545,0.747,0.115,-4.231,0.037,96.017,0.214,25
557,Our Song - International Mix,14,Fearless (International Version),Big Machine,2008,November,0.007,0.516,0.696,0.354,-4.833,0.03,177.936,0.664,31
558,Teardrops On My Guitar - International Mix,15,Fearless (International Version),Big Machine,2008,November,0.018,0.514,0.557,0.114,-6.307,0.026,99.974,0.152,34
559,Should've Said No - International Mix,16,Fearless (International Version),Big Machine,2008,November,0.005,0.398,0.761,0.234,-4.382,0.038,168.092,0.454,29
560,Love Story - Live From Clear Channel Stripped 2008,1,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.659,0.741,0.444,0.131,-7.031,0.031,119.006,0.512,35
561,Fearless - Live From Clear Channel Stripped 2008,2,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.814,0.623,0.266,0.145,-5.894,0.026,96.601,0.467,35
562,Beautiful Eyes - Live From Clear Channel Stripped 2008,3,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.596,0.627,0.704,0.06,-3.739,0.027,98.958,0.457,38
563,Untouchable - Live From Clear Channel Stripped 2008,4,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.856,0.731,0.184,0.093,-9.235,0.042,102.404,0.331,32
564,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,5,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.664,0.344,0.801,0.106,-5.373,0.057,204.489,0.615,30
565,Picture To Burn - Live From Clear Channel Stripped 2008,6,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.266,0.647,0.872,0.419,-1.953,0.052,105.798,0.684,30
566,Should've Said No - Live From Clear Channel Stripped 2008,7,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.399,0.429,0.808,0.088,-3.004,0.068,171.537,0.438,30
567,Change - Live From Clear Channel Stripped 2008,8,Live From Clear Channel Stripped 2008,Big Machine,2008,June,0.156,0.243,0.712,0.111,-4.307,0.058,202.319,0.273,28
568,Tim McGraw,1,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.575,0.58,0.491,0.121,-6.462,0.025,76.009,0.425,56
569,Picture To Burn,2,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.173,0.658,0.877,0.096,-2.098,0.032,105.586,0.821,61
570,Teardrops On My Guitar - Radio Single Remix,3,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.288,0.621,0.417,0.119,-6.941,0.023,99.953,0.289,63
571,A Place in this World,4,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.051,0.576,0.777,0.32,-2.881,0.032,115.028,0.428,55
572,Cold As You,5,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.217,0.418,0.482,0.123,-5.769,0.027,175.558,0.261,55
573,The Outside,6,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.005,0.589,0.805,0.24,-4.055,0.029,112.982,0.591,54
574,Tied Together with a Smile,7,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.525,0.479,0.578,0.084,-4.963,0.029,146.165,0.192,54
575,Stay Beautiful,8,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.087,0.594,0.629,0.137,-4.919,0.025,131.597,0.504,53
576,Should've Said No,9,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.01,0.476,0.777,0.196,-3.771,0.029,167.964,0.472,60
577,Mary's Song (Oh My My My),10,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.018,0.403,0.627,0.182,-5.28,0.029,74.9,0.374,57
578,Our Song,11,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.111,0.668,0.672,0.329,-4.931,0.03,89.011,0.539,64
579,I'm Only Me When I'm With You,12,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.005,0.563,0.934,0.103,-3.629,0.065,143.964,0.518,56
580,Invisible,13,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.637,0.612,0.394,0.147,-5.723,0.024,96.001,0.233,54
581,A Perfectly Good Heart,14,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.003,0.483,0.751,0.128,-5.726,0.036,156.092,0.268,53
582,Teardrops on My Guitar - Pop Version,15,Taylor Swift (Deluxe Edition),Big Machine,2006,October,0.04,0.459,0.753,0.086,-3.827,0.054,199.997,0.483,55
